date,ticker,entry,exit,reason,pnl_pct,ent_ns,ex_ns
2025-02-10,CENX,21.4815,21.0576,SL,-1.973,1739197920000000000,1.73919792e+18
2025-02-10,UBER,77.7977,78.9053,TP,1.424,1739197920000000000,1.7392155e+18
2025-02-11,PSX,131.5614,129.2788,SL,-1.735,1739284320000000000,1.73928462e+18
2025-02-11,DD,80.055,81.4407,TP,1.731,1739284320000000000,1.73928906e+18
2025-02-12,BTDR,15.971,16.3185,TP,2.176,1739370720000000000,1.7393709e+18
2025-02-12,HSAI,19.1742,18.3918,SL,-4.08,1739370720000000000,1.7393916e+18
2025-02-13,MTW,10.7407,11.0762,TP,3.123,1739457120000000000,1.73945718e+18
2025-02-13,SW,54.039,54.8346,TP,1.472,1739457120000000000,1.73946684e+18
2025-02-14,RXRX,9.6596,10.1839,TP,5.427,1739543520000000000,1.73954358e+18
2025-02-14,NMRK,14.7647,14.5854,EOD,-1.215,1739543520000000000,1.7395665e+18
2025-02-18,WGS,100.0099,102.9005,TP,2.89,1739889120000000000,1.73988912e+18
2025-02-18,CADL,9.5578,9.8273,TP,2.819,1739889120000000000,1.73988936e+18
2025-02-19,GDS,43.7737,42.8821,EOD,-2.037,1739975520000000000,1.7399985e+18
2025-02-19,PEN,298.0177,302.0027,EOD,1.337,1739975520000000000,1.7399985e+18
2025-02-20,VNET,15.1251,15.6548,TP,3.502,1740061920000000000,1.74006198e+18
2025-02-20,GDS,49.9899,46.0878,SL,-7.806,1740061920000000000,1.7400699e+18
2025-02-21,UNIT,5.8058,5.6644,SL,-2.435,1740148320000000000,1.74014868e+18
2025-02-21,BABA,143.3232,143.1367,EOD,-0.13,1740148320000000000,1.7401713e+18
2025-02-24,GLOB,161.4363,158.1354,SL,-2.045,1740407520000000000,1.7404083e+18
2025-02-24,DAL,61.6817,60.4056,SL,-2.069,1740407520000000000,1.7404095e+18
2025-02-25,LE,12.8628,13.183,TP,2.489,1740493920000000000,1.74049398e+18
2025-02-25,AHCO,10.3804,9.9362,SL,-4.279,1740493920000000000,1.74049404e+18
2025-02-26,ASTS,28.8788,30.0175,TP,3.943,1740580320000000000,1.74058134e+18
2025-02-26,NBIS,36.4464,37.5122,TP,2.924,1740580320000000000,1.74058584e+18
2025-02-27,BBAI,5.9259,5.6807,SL,-4.138,1740666720000000000,1.74066732e+18
2025-02-27,ZVRA,7.7778,7.7772,EOD,-0.007,1740666720000000000,1.7406897e+18
2025-02-28,VITL,32.983,32.3168,SL,-2.02,1740753120000000000,1.74075312e+18
2025-02-28,RCUS,10.4655,10.6085,TP,1.366,1740753120000000000,1.74075336e+18
2025-03-03,MSEX,54.1441,55.5569,TP,2.609,1741012320000000000,1.74101244e+18
2025-03-03,GRRR,37.4647,33.6808,SL,-10.1,1741012320000000000,1.74101358e+18
2025-03-04,GDS,32.6526,33.5159,TP,2.644,1741098720000000000,1.74110736e+18
2025-03-04,UL,58.9489,58.3124,SL,-1.08,1741098720000000000,1.74111642e+18
2025-03-05,GDS,37.7503,39.2052,TP,3.854,1741185120000000000,1.74118812e+18
2025-03-05,XPEV,21.6116,21.6833,EOD,0.332,1741185120000000000,1.7412081e+18
2025-03-06,ZS,203.5133,207.8669,TP,2.139,1741271520000000000,1.7412717e+18
2025-03-06,PKX,50.7207,50.7042,EOD,-0.032,1741271520000000000,1.7412945e+18
2025-03-07,DRD,13.1131,13.2442,TP,1.0,1741357920000000000,1.74135828e+18
2025-03-07,VOD,9.2203,9.2717,TP,0.557,1741357920000000000,1.74135852e+18
2025-03-10,EVH,9.6296,9.2257,SL,-4.195,1741613520000000000,1.7416155e+18
2025-03-10,FNV,147.8577,142.6172,EOD,-3.544,1741613520000000000,1.7416365e+18
2025-03-11,LI,29.2292,29.7476,TP,1.773,1741699920000000000,1.74170064e+18
2025-03-11,BILI,23.073,22.5787,SL,-2.143,1741699920000000000,1.74170394e+18
2025-03-12,SPOT,549.4489,524.4569,SL,-4.549,1741786320000000000,1.74179256e+18
2025-03-12,AMTM,18.018,18.3891,EOD,2.06,1741786320000000000,1.7418093e+18
2025-03-13,DNA,6.8018,6.6082,SL,-2.846,1741872720000000000,1.7418741e+18
2025-03-13,VG,10.5689,10.1522,SL,-3.942,1741872720000000000,1.7418897e+18
2025-03-14,SERV,7.4474,7.6154,TP,2.256,1741959120000000000,1.7419593e+18
2025-03-14,UMC,6.7718,6.7732,EOD,0.021,1741959120000000000,1.7419821e+18
2025-03-17,PENG,18.0881,18.8143,TP,4.015,1742218320000000000,1.74223722e+18
2025-03-17,HBM,8.0781,8.0819,EOD,0.048,1742218320000000000,1.7422413e+18
2025-03-18,TME,14.8799,14.3477,SL,-3.576,1742304720000000000,1.74230502e+18
2025-03-18,MRP,23.3834,23.871,TP,2.086,1742304720000000000,1.74230556e+18
2025-03-19,ROKU,71.3513,72.6805,TP,1.863,1742391120000000000,1.74239232e+18
2025-03-19,FRO,16.5866,16.6184,EOD,0.192,1742391120000000000,1.7424141e+18
2025-03-20,BKKT,10.1466,10.4426,TP,2.917,1742477520000000000,1.74247794e+18
2025-03-20,CAVA,83.2882,84.9427,TP,1.987,1742477520000000000,1.74247932e+18
2025-03-21,USAR,13.1455,12.5166,SL,-4.784,1742563920000000000,1.74256404e+18
2025-03-21,RDY,13.8338,13.7113,EOD,-0.886,1742563920000000000,1.7425869e+18
2025-03-24,CYRX,6.1862,6.3106,TP,2.012,1742823120000000000,1.74282318e+18
2025-03-24,TSLA,260.5403,266.7017,TP,2.365,1742823120000000000,1.74282414e+18
2025-03-25,PSIX,34.1183,35.3459,TP,3.598,1742909520000000000,1.74290958e+18
2025-03-25,TTD,60.8107,61.4302,TP,1.019,1742909520000000000,1.7429142e+18
2025-03-26,VG,11.7067,11.2884,SL,-3.573,1742995920000000000,1.74300504e+18
2025-03-26,RTO,23.2032,22.9281,SL,-1.185,1742995920000000000,1.74301182e+18
2025-03-27,CNXC,51.7667,53.2766,TP,2.917,1743082320000000000,1.74308232e+18
2025-03-27,BILI,20.0,20.248,TP,1.24,1743082320000000000,1.74308406e+18
2025-03-28,NOK,5.3203,5.2634,SL,-1.07,1743168720000000000,1.7431704e+18
2025-03-28,SNY,55.9859,55.7142,EOD,-0.485,1743168720000000000,1.7431917e+18
2025-03-31,EXC,45.7607,46.0989,EOD,0.739,1743427920000000000,1.7434509e+18
2025-03-31,PGNY,22.2923,22.3476,EOD,0.248,1743427920000000000,1.7434509e+18
2025-04-01,PRGS,54.7247,55.775,TP,1.919,1743514320000000000,1.7435145e+18
2025-04-01,QUBT,8.4083,7.8224,SL,-6.968,1743514320000000000,1.74351456e+18
2025-04-02,ALGT,52.3123,53.2848,TP,1.859,1743600720000000000,1.74360114e+18
2025-04-02,UL,60.07,59.8451,EOD,-0.374,1743600720000000000,1.7436237e+18
2025-04-03,AEP,110.2601,108.2655,SL,-1.809,1743687120000000000,1.74368892e+18
2025-04-03,KO,72.7627,73.5621,TP,1.099,1743687120000000000,1.7436918e+18
2025-04-04,GME,21.4965,20.8117,SL,-3.185,1743773520000000000,1.7437782e+18
2025-04-04,GBTC,65.3353,66.2037,EOD,1.329,1743773520000000000,1.7437965e+18
2025-04-07,DBVT,6.6667,6.4906,SL,-2.641,1744032720000000000,1.74403344e+18
2025-04-07,DLTR,70.2101,72.3278,TP,3.016,1744032720000000000,1.7440338e+18
2025-04-08,SMCI,35.4254,33.9612,SL,-4.133,1744119120000000000,1.74412014e+18
2025-04-08,LOCO,10.4354,10.1798,EOD,-2.449,1744119120000000000,1.7441421e+18
2025-04-09,DAL,37.6476,38.7927,TP,3.042,1744205520000000000,1.7442072e+18
2025-04-09,NVDA,99.3993,104.5389,TP,5.171,1744205520000000000,1.7442192e+18
2025-04-10,TAL,10.01,10.1892,TP,1.791,1744291920000000000,1.7442921e+18
2025-04-10,CCEP,86.5515,84.3477,SL,-2.546,1744291920000000000,1.74429756e+18
2025-04-11,ZLAB,28.4334,29.1906,TP,2.663,1744378320000000000,1.74437892e+18
2025-04-11,FSM,6.5165,6.4049,SL,-1.713,1744378320000000000,1.74438e+18
2025-04-14,ONC,248.9987,245.833,SL,-1.271,1744637520000000000,1.74463788e+18
2025-04-14,PLTR,96.7216,92.342,SL,-4.528,1744637520000000000,1.74463842e+18
2025-04-15,NMAX,29.2292,27.4103,SL,-6.223,1744723920000000000,1.74472518e+18
2025-04-15,NOK,5.0801,5.1203,TP,0.791,1744723920000000000,1.74473718e+18
2025-04-16,IAG,7.9579,8.1381,TP,2.264,1744810320000000000,1.74481158e+18
2025-04-16,ALV,88.5384,87.2514,SL,-1.454,1744810320000000000,1.74481182e+18
2025-04-17,GEV,335.7654,326.8666,SL,-2.65,1744896720000000000,1.7448993e+18
2025-04-17,YALA,6.5864,6.5584,EOD,-0.424,1744896720000000000,1.7449197e+18
2025-04-21,MSTR,326.346,316.8611,SL,-2.906,1745242320000000000,1.74524274e+18
2025-04-21,PPTA,14.0801,13.3628,SL,-5.094,1745242320000000000,1.74524394e+18
2025-04-22,QURE,13.984,13.5333,SL,-3.223,1745328720000000000,1.74533388e+18
2025-04-22,GDS,22.5275,22.4076,EOD,-0.532,1745328720000000000,1.7453517e+18
2025-04-23,VNET,5.6056,5.7801,TP,3.112,1745415120000000000,1.74541584e+18
2025-04-23,NNE,21.0357,20.4895,EOD,-2.597,1745415120000000000,1.7454381e+18
2025-04-24,MCHP,44.6046,45.6739,TP,2.397,1745501520000000000,1.74550302e+18
2025-04-24,NEM,54.9349,55.5165,EOD,1.059,1745501520000000000,1.7455245e+18
2025-04-25,FPH,5.6206,5.8055,TP,3.289,1745587920000000000,1.74558804e+18
2025-04-25,TNET,85.8357,82.6158,SL,-3.751,1745587920000000000,1.74558882e+18
2025-04-28,QUIK,5.5756,5.6644,TP,1.593,1745847120000000000,1.74584754e+18
2025-04-28,BA,183.6735,181.9678,EOD,-0.929,1745847120000000000,1.7458701e+18
2025-04-29,CHA,36.8768,37.9091,TP,2.799,1745933520000000000,1.74593358e+18
2025-04-29,TEM,56.5665,53.8314,SL,-4.835,1745933520000000000,1.74593382e+18
2025-04-30,ODD,51.7742,54.26,TP,4.801,1746019920000000000,1.7460204e+18
2025-04-30,MDLZ,68.3883,68.0819,EOD,-0.448,1746019920000000000,1.7460429e+18
2025-05-01,CLS,91.3533,89.6203,EOD,-1.897,1746106320000000000,1.7461293e+18
2025-05-01,CRDO,46.8668,45.6993,EOD,-2.491,1746106320000000000,1.7461293e+18
2025-05-02,HLN,10.8258,10.6589,SL,-1.542,1746192720000000000,1.74619938e+18
