date,ticker,entry,exit,reason,pnl_pct,ent_ns,ex_ns
2025-02-10,HSAI,18.9689,19.6151,TP,3.406,1739197920000000000,1.7391981e+18
2025-02-10,CLF,11.4013,11.9187,TP,4.538,1739197920000000000,1.73921028e+18
2025-02-11,ATEX,38.6758,37.6163,SL,-2.74,1739284320000000000,1.73928456e+18
2025-02-11,COMP,7.855,7.58,SL,-3.502,1739284320000000000,1.73928666e+18
2025-02-12,CVS,61.4113,62.6291,TP,1.983,1739370720000000000,1.73937102e+18
2025-02-12,SMCI,42.4324,39.8401,EOD,-6.109,1739370720000000000,1.7393937e+18
2025-02-13,HIMX,10.6707,11.0715,TP,3.756,1739457120000000000,1.73945724e+18
2025-02-13,APP,515.1246,502.0511,SL,-2.538,1739457120000000000,1.7394576e+18
2025-02-14,ROKU,103.3683,100.8512,SL,-2.435,1739543520000000000,1.73954382e+18
2025-02-14,KC,21.2412,20.5812,SL,-3.107,1739543520000000000,1.73954454e+18
2025-02-18,OTLY,9.9099,10.2277,TP,3.207,1739889120000000000,1.73988924e+18
2025-02-18,SLDB,7.003,6.2596,SL,-10.616,1739889120000000000,1.73989008e+18
2025-02-19,APPN,38.5085,40.0098,TP,3.899,1739975520000000000,1.73997558e+18
2025-02-19,SEDG,23.1951,21.284,SL,-8.239,1739975520000000000,1.73997576e+18
2025-02-20,CYD,23.003,22.0005,SL,-4.358,1740061920000000000,1.74006192e+18
2025-02-20,FTAI,153.6335,147.9823,SL,-3.678,1740061920000000000,1.74006294e+18
2025-02-21,SEI,34.9739,36.6254,TP,4.722,1740148320000000000,1.74014844e+18
2025-02-21,INOD,62.4236,64.9508,TP,4.049,1740148320000000000,1.74014862e+18
2025-02-24,SEPN,6.4013,6.2399,SL,-2.521,1740407520000000000,1.74040758e+18
2025-02-24,FRPT,107.107,107.6722,EOD,0.528,1740407520000000000,1.7404305e+18
2025-02-25,AHCO,10.3804,9.9362,SL,-4.279,1740493920000000000,1.74049404e+18
2025-02-25,LI,29.8067,29.8202,EOD,0.045,1740493920000000000,1.7405169e+18
2025-02-26,ASTS,28.8788,30.0175,TP,3.943,1740580320000000000,1.74058134e+18
2025-02-26,AXON,597.4669,569.0204,EOD,-4.761,1740580320000000000,1.7406033e+18
2025-02-27,WBD,11.7217,11.1717,SL,-4.692,1740666720000000000,1.74066702e+18
2025-02-27,APLD,8.6284,8.3394,SL,-3.35,1740666720000000000,1.7406672e+18
2025-02-28,SIG,54.2592,55.7409,TP,2.731,1740753120000000000,1.74075336e+18
2025-02-28,FOXF,28.1481,27.6623,EOD,-1.726,1740753120000000000,1.7407761e+18
2025-03-03,BKKT,13.3333,13.7092,TP,2.819,1741012320000000000,1.74101244e+18
2025-03-03,GRRR,37.4647,33.6808,SL,-10.1,1741012320000000000,1.74101358e+18
2025-03-04,AU,30.5605,29.6369,SL,-3.022,1741098720000000000,1.74110406e+18
2025-03-04,NTES,100.065,100.4594,EOD,0.394,1741098720000000000,1.7411217e+18
2025-03-05,ATRO,23.1631,24.099,TP,4.04,1741185120000000000,1.74118548e+18
2025-03-05,XPEV,21.6116,21.6833,EOD,0.332,1741185120000000000,1.7412081e+18
2025-03-06,TRMD,18.9089,19.2191,TP,1.64,1741271520000000000,1.74127182e+18
2025-03-06,VEEV,236.9968,236.3934,EOD,-0.255,1741271520000000000,1.7412945e+18
2025-03-07,GYRE,13.4835,12.8386,SL,-4.782,1741357920000000000,1.74135804e+18
2025-03-07,GAP,22.5525,23.0769,EOD,2.325,1741357920000000000,1.7413809e+18
2025-03-10,TRVI,6.7397,7.3026,TP,8.352,1741613520000000000,1.74161364e+18
2025-03-10,EVH,9.6296,9.2257,SL,-4.195,1741613520000000000,1.7416155e+18
2025-03-11,HSAI,18.9289,19.7068,TP,4.109,1741699920000000000,1.74169992e+18
2025-03-11,XPEV,25.7257,26.3422,TP,2.396,1741699920000000000,1.74170016e+18
2025-03-12,GRPN,12.4324,12.8055,TP,3.001,1741786320000000000,1.74178638e+18
2025-03-12,APP,286.9016,271.9985,SL,-5.195,1741786320000000000,1.7417877e+18
2025-03-13,MGTX,7.8768,8.2332,TP,4.526,1741872720000000000,1.74187272e+18
2025-03-13,FN,222.0919,228.2283,TP,2.763,1741872720000000000,1.74187302e+18
2025-03-14,QBTS,7.8583,8.1436,TP,3.631,1741959120000000000,1.74195918e+18
2025-03-14,QUBT,6.041,6.2432,TP,3.347,1741959120000000000,1.74195918e+18
2025-03-17,GES,12.2322,12.4467,TP,1.753,1742218320000000000,1.74221916e+18
2025-03-17,SAIC,120.0649,115.3154,SL,-3.956,1742218320000000000,1.74222012e+18
2025-03-18,HROW,29.6596,30.4957,TP,2.819,1742304720000000000,1.74230472e+18
2025-03-18,TME,14.8799,14.3477,SL,-3.576,1742304720000000000,1.74230502e+18
2025-03-19,STNE,11.1611,11.3486,EOD,1.68,1742391120000000000,1.7424141e+18
2025-03-19,BTDR,10.01,10.4745,EOD,4.641,1742391120000000000,1.7424141e+18
2025-03-20,SPRY,12.6076,13.1132,TP,4.01,1742477520000000000,1.74247752e+18
2025-03-20,FIVE,80.5405,76.2337,EOD,-5.347,1742477520000000000,1.7425005e+18
2025-03-21,USAR,13.1455,12.5166,SL,-4.784,1742563920000000000,1.74256404e+18
2025-03-21,RGC,56.5565,52.8318,SL,-6.586,1742563920000000000,1.74256446e+18
2025-03-24,LUNR,8.2907,8.6027,TP,3.763,1742823120000000000,1.74282318e+18
2025-03-24,TEM,55.1751,57.1372,TP,3.556,1742823120000000000,1.74282594e+18
2025-03-25,PSIX,34.1183,35.3459,TP,3.598,1742909520000000000,1.74290958e+18
2025-03-25,DJT,23.1629,23.7726,TP,2.632,1742909520000000000,1.74291006e+18
2025-03-26,CTAS,205.783,209.2737,TP,1.696,1742995920000000000,1.7429961e+18
2025-03-26,IONQ,27.5128,26.1671,SL,-4.891,1742995920000000000,1.74299658e+18
2025-03-27,CNXC,51.7667,53.2766,TP,2.917,1743082320000000000,1.74308232e+18
2025-03-27,CAR,68.2582,70.6577,TP,3.515,1743082320000000000,1.74308244e+18
2025-03-28,HMY,13.6036,13.7602,TP,1.151,1743168720000000000,1.74316932e+18
2025-03-28,TSSI,9.3742,8.6387,SL,-7.845,1743168720000000000,1.74317082e+18
2025-03-31,ALMU,7.5075,7.6926,TP,2.465,1743427920000000000,1.74342798e+18
2025-03-31,CELH,35.1051,36.0239,TP,2.617,1743427920000000000,1.74343008e+18
2025-04-01,NMAX,147.2371,134.9274,SL,-8.36,1743514320000000000,1.74351432e+18
2025-04-01,NUTX,68.6904,66.8406,SL,-2.693,1743514320000000000,1.7435145e+18
2025-04-02,CGNT,9.3193,9.5726,TP,2.718,1743600720000000000,1.74360084e+18
2025-04-02,ANGO,11.3313,10.5722,SL,-6.7,1743600720000000000,1.74360132e+18
2025-04-03,UL,62.4624,62.5024,EOD,0.064,1743687120000000000,1.7437101e+18
2025-04-03,SBS,18.7137,18.6813,EOD,-0.173,1743687120000000000,1.7437101e+18
