date,ticker,entry,exit,reason,pnl_pct,ent_ns,ex_ns
2026-02-09,VAL,74.7947,76.4665,TP,2.235,1.77064752e+18,1.77064758e+18
2026-02-09,STM,32.3773,32.7186,TP,1.054,1.77064752e+18,1.77065598e+18
2026-02-09,KR,71.9218,70.437,SL,-2.065,1.77064758e+18,1.77065994e+18
2026-02-09,CIFR,16.5691,16.6952,EOD,0.761,1.77065598e+18,1.7706705e+18
2026-02-09,ORCL,158.188,156.3935,EOD,-1.134,1.77065994e+18,1.7706705e+18
2026-02-09,LMRI,11.6116,11.5385,EOD,-0.63,1.7706705e+18,1.7706705e+18
2026-02-10,VSTS,9.1391,8.804,SL,-3.667,1.77073392e+18,1.7707341e+18
2026-02-10,NKTR,50.2388,52.6139,TP,4.728,1.77073392e+18,1.77073458e+18
2026-02-10,SPOT,474.3238,487.711,TP,2.822,1.77073458e+18,1.77073578e+18
2026-02-10,UNF,234.5399,240.3763,TP,2.488,1.7707341e+18,1.77073812e+18
2026-02-10,DDOG,132.7476,129.6502,EOD,-2.333,1.77073578e+18,1.7707569e+18
2026-02-10,PSNL,8.576,8.6463,EOD,0.821,1.77073812e+18,1.7707569e+18
2026-02-10,PHG,33.013,32.927,EOD,-0.26,1.7707569e+18,1.7707569e+18
2026-02-10,OSCR,13.008,12.9321,EOD,-0.584,1.7707569e+18,1.7707569e+18
2026-02-10,MAS,78.1881,77.932,EOD,-0.328,1.7707569e+18,1.7707569e+18
2026-02-11,VRT,235.235,242.0797,TP,2.91,1.77082032e+18,1.77082038e+18
2026-02-11,AEHR,35.6106,37.1918,TP,4.44,1.77082038e+18,1.77082044e+18
2026-02-11,JHX,27.027,26.3417,SL,-2.535,1.77082044e+18,1.77082068e+18
2026-02-11,TDC,40.3703,38.6738,SL,-4.202,1.77082032e+18,1.77082344e+18
2026-02-11,KC,14.5495,14.4855,EOD,-0.44,1.77082068e+18,1.7708433e+18
2026-02-11,VELO,12.6624,12.6473,EOD,-0.119,1.77082344e+18,1.7708433e+18
2026-02-11,SGML,13.7137,13.6463,EOD,-0.491,1.7708433e+18,1.7708433e+18
2026-02-11,SNDK,599.9493,597.6118,EOD,-0.39,1.7708433e+18,1.7708433e+18
2026-02-11,CIM,13.1381,13.1069,EOD,-0.238,1.7708433e+18,1.7708433e+18
2026-02-11,MU,411.5011,409.5101,EOD,-0.484,1.7708433e+18,1.7708433e+18
2026-02-12,NVCR,14.7647,14.134,SL,-4.272,1.77090672e+18,1.7709069e+18
2026-02-12,FSLY,14.9249,15.5757,TP,4.361,1.77090672e+18,1.77090756e+18
2026-02-12,CGNX,59.4694,56.6053,SL,-4.816,1.7709069e+18,1.77091278e+18
2026-02-12,SPHR,110.5604,116.1491,TP,5.055,1.77091278e+18,1.77092544e+18
2026-02-12,HUBS,221.3261,226.9673,TP,2.549,1.77092544e+18,1.7709294e+18
2026-02-12,CROX,99.1065,98.4614,EOD,-0.651,1.77090756e+18,1.7709297e+18
2026-02-12,SNDK,628.1375,630.369,EOD,0.355,1.7709294e+18,1.7709297e+18
2026-02-12,EQIX,956.4955,960.7982,EOD,0.45,1.7709297e+18,1.7709297e+18
2026-02-12,SSL,7.7027,7.6773,EOD,-0.329,1.7709297e+18,1.7709297e+18
2026-02-13,CRSR,6.8468,7.1252,TP,4.066,1.77099312e+18,1.77099318e+18
2026-02-13,MITK,13.6421,13.1342,SL,-3.723,1.77099318e+18,1.77099354e+18
2026-02-13,AMAT,370.2699,361.9527,SL,-2.246,1.77099312e+18,1.7709945e+18
2026-02-13,TXG,19.5295,18.5456,SL,-5.038,1.7709945e+18,1.7710026e+18
2026-02-13,MGA,66.7367,69.352,TP,3.919,1.77099354e+18,1.77100872e+18
2026-02-13,AAP,60.4604,58.7762,EOD,-2.786,1.7710026e+18,1.7710161e+18
2026-02-13,RELX,30.9659,31.0589,EOD,0.3,1.77100872e+18,1.7710161e+18
2026-02-13,PCOR,52.6025,52.4075,EOD,-0.371,1.7710161e+18,1.7710161e+18
2026-02-13,CLYM,5.6957,5.6793,EOD,-0.287,1.7710161e+18,1.7710161e+18
2026-02-13,EVMN,31.5365,31.5834,EOD,0.149,1.7710161e+18,1.7710161e+18
2026-02-17,ENLT,71.7817,72.9414,TP,1.616,1.77133872e+18,1.77134148e+18
2026-02-17,KD,13.2933,13.5864,EOD,2.205,1.77133872e+18,1.7713617e+18
2026-02-17,GBTG,5.5555,5.4695,EOD,-1.548,1.77134148e+18,1.7713617e+18
2026-02-17,HSAI,26.9669,26.8931,EOD,-0.274,1.7713617e+18,1.7713617e+18
2026-02-17,WAY,24.2943,24.0959,EOD,-0.817,1.7713617e+18,1.7713617e+18
2026-02-17,EMAT,10.2552,10.3097,EOD,0.531,1.7713617e+18,1.7713617e+18
2026-02-17,AVAV,264.304,263.1965,EOD,-0.419,1.7713617e+18,1.7713617e+18
2026-02-18,WING,282.282,290.9551,TP,3.072,1.77142512e+18,1.77142626e+18
2026-02-18,MSGS,337.337,343.7392,TP,1.898,1.77142626e+18,1.77142932e+18
2026-02-18,TCMD,36.3263,32.9104,SL,-9.403,1.77142512e+18,1.7714478e+18
2026-02-18,CMPS,8.7887,8.4465,EOD,-3.893,1.77142932e+18,1.7714481e+18
2026-02-18,WEN,8.053,8.0569,EOD,0.048,1.7714478e+18,1.7714481e+18
2026-02-18,RBA,107.6676,107.5074,EOD,-0.149,1.7714481e+18,1.7714481e+18
2026-02-18,WTTR,14.4644,14.4755,EOD,0.076,1.7714481e+18,1.7714481e+18
2026-02-18,PERI,8.8488,8.8511,EOD,0.026,1.7714481e+18,1.7714481e+18
