date,ticker,entry,exit,reason,pnl_pct,ent_ns,ex_ns
2025-02-10,CENX,21.4815,21.0576,SL,-1.973,1739197920000000000,1.73919792e+18
2025-02-10,HSAI,18.9689,19.6151,TP,3.406,1739197920000000000,1.7391981e+18
2025-02-11,GDS,31.4714,32.3498,TP,2.791,1739284320000000000,1.7392845e+18
2025-02-11,ATEX,38.6758,37.6163,SL,-2.74,1739284320000000000,1.73928456e+18
2025-02-12,EH,21.992,22.6892,TP,3.17,1739370720000000000,1.7393709e+18
2025-02-12,PBI,9.8071,9.4916,SL,-3.217,1739370720000000000,1.7393724e+18
2025-02-13,ENTA,6.4965,6.7402,TP,3.751,1739457120000000000,1.73945712e+18
2025-02-13,HIMX,10.6707,11.0715,TP,3.756,1739457120000000000,1.73945724e+18
2025-02-14,CAE,25.6556,25.3427,SL,-1.22,1739543520000000000,1.73954352e+18
2025-02-14,EH,29.4494,28.8797,SL,-1.935,1739543520000000000,1.73954364e+18
2025-02-18,BKSY,18.3655,18.9785,TP,3.337,1739889120000000000,1.73988918e+18
2025-02-18,OTLY,9.9099,10.2277,TP,3.207,1739889120000000000,1.73988924e+18
2025-02-19,SLDB,5.6657,5.8505,TP,3.263,1739975520000000000,1.73997552e+18
2025-02-19,ROCK,70.5004,69.4639,SL,-1.47,1739975520000000000,1.73997552e+18
2025-02-20,CXDO,6.6667,6.8266,TP,2.4,1740061920000000000,1.74006204e+18
2025-02-20,HAS,64.9148,66.3374,TP,2.191,1740061920000000000,1.7400621e+18
2025-02-21,INOD,62.4236,64.9508,TP,4.049,1740148320000000000,1.74014862e+18
2025-02-21,AAOI,30.005,30.9557,TP,3.168,1740148320000000000,1.74014898e+18
2025-02-24,AAOI,28.3433,29.242,TP,3.171,1740407520000000000,1.74040764e+18
2025-02-24,TEM,71.2642,73.3997,TP,2.997,1740407520000000000,1.7404077e+18
2025-02-25,AHCO,10.3804,9.9362,SL,-4.279,1740493920000000000,1.74049404e+18
2025-02-25,SOLV,82.082,83.4664,EOD,1.687,1740493920000000000,1.7405169e+18
2025-02-26,AAOI,26.2162,25.3546,SL,-3.287,1740580320000000000,1.74058032e+18
2025-02-26,CEVA,36.3263,37.4256,TP,3.026,1740580320000000000,1.7405823e+18
2025-02-27,BTDR,11.2612,11.6438,TP,3.397,1740666720000000000,1.74066684e+18
2025-02-27,LTBR,10.9981,11.4135,TP,3.777,1740666720000000000,1.7406669e+18
2025-02-28,OPRA,18.7053,19.1243,TP,2.24,1740753120000000000,1.7407533e+18
2025-02-28,SIG,54.2592,55.7409,TP,2.731,1740753120000000000,1.74075336e+18
2025-03-03,BKKT,13.3333,13.7092,TP,2.819,1741012320000000000,1.74101244e+18
2025-03-03,MSEX,54.1441,55.5569,TP,2.609,1741012320000000000,1.74101244e+18
2025-03-04,TSM,176.3962,179.182,TP,1.579,1741098720000000000,1.7410989e+18
2025-03-04,DQ,19.2442,19.5969,TP,1.833,1741098720000000000,1.7410989e+18
2025-03-05,CXDO,6.3363,6.5642,TP,3.597,1741185120000000000,1.74118518e+18
2025-03-05,SWIM,6.1862,6.0077,SL,-2.886,1741185120000000000,1.7411853e+18
2025-03-06,BJ,105.5354,108.4435,TP,2.756,1741271520000000000,1.74127176e+18
2025-03-06,FLGT,17.7928,18.2114,TP,2.353,1741271520000000000,1.74127182e+18
2025-03-07,HE,11.2462,11.5452,TP,2.658,1741357920000000000,1.74135804e+18
2025-03-07,GYRE,13.4835,12.8386,SL,-4.782,1741357920000000000,1.74135804e+18
2025-03-10,CBRL,45.3853,44.0614,SL,-2.917,1741613520000000000,1.7416137e+18
2025-03-10,WSC,29.5695,29.2362,SL,-1.127,1741613520000000000,1.74161556e+18
2025-03-11,METC,9.4795,9.3146,SL,-1.739,1741699920000000000,1.74169992e+18
2025-03-11,API,5.4254,5.5771,TP,2.795,1741699920000000000,1.74170022e+18
2025-03-12,GRPN,12.4324,12.8055,TP,3.001,1741786320000000000,1.74178638e+18
2025-03-12,SOUN,9.3493,9.0653,SL,-3.038,1741786320000000000,1.74178764e+18
2025-03-13,GRRR,29.8635,30.8015,TP,3.141,1741872720000000000,1.74187284e+18
2025-03-13,FN,222.0919,228.2283,TP,2.763,1741872720000000000,1.74187302e+18
2025-03-14,QUBT,6.041,6.2432,TP,3.347,1741959120000000000,1.74195918e+18
2025-03-14,IONQ,22.8728,23.6247,TP,3.287,1741959120000000000,1.74195936e+18
2025-03-17,PPTA,10.4004,10.6535,TP,2.433,1742218320000000000,1.74221898e+18
2025-03-17,INTC,24.8148,25.8225,TP,4.061,1742218320000000000,1.7422206e+18
2025-03-18,HROW,29.6596,30.4957,TP,2.819,1742304720000000000,1.74230472e+18
2025-03-18,TME,14.8799,14.3477,SL,-3.576,1742304720000000000,1.74230502e+18
2025-03-19,SPIR,9.2693,9.5423,TP,2.946,1742391120000000000,1.74239118e+18
2025-03-19,PAGS,8.3083,8.5101,TP,2.429,1742391120000000000,1.74239256e+18
2025-03-20,SPRY,12.6076,13.1132,TP,4.01,1742477520000000000,1.74247752e+18
