date,ticker,entry,exit,reason,pnl_pct,ent_ns,ex_ns
2025-02-10,CENX,21.5201,21.0389,SL,-2.236,1739197920000000000,1.73919792e+18
2025-02-10,HSAI,19.2692,19.9256,TP,3.406,1739197920000000000,1.7391984e+18
2025-02-11,ATEX,39.5395,38.4265,SL,-2.815,1739284320000000000,1.73928432e+18
2025-02-11,GDS,31.5815,32.463,TP,2.791,1739284320000000000,1.7392845e+18
2025-02-12,EH,22.3423,23.0507,TP,3.17,1739370720000000000,1.73937108e+18
2025-02-12,PBI,9.9398,9.6004,SL,-3.415,1739370720000000000,1.7393712e+18
2025-02-13,ENTA,6.7567,6.4835,SL,-4.044,1739457120000000000,1.73945712e+18
2025-02-13,HIMX,10.7908,10.5495,SL,-2.236,1739457120000000000,1.73945712e+18
2025-02-14,EH,29.7898,29.0709,SL,-2.413,1739543520000000000,1.73954352e+18
2025-02-14,CAE,25.6957,25.3346,SL,-1.405,1739543520000000000,1.73954352e+18
2025-02-18,BKSY,18.7186,18.2318,SL,-2.601,1739889120000000000,1.73988912e+18
2025-02-18,OTLY,9.9149,10.2329,TP,3.207,1739889120000000000,1.73988924e+18
2025-02-19,SLDB,5.8759,5.6044,SL,-4.62,1739975520000000000,1.73997552e+18
2025-02-19,ROCK,70.5805,67.932,SL,-3.752,1739975520000000000,1.73997552e+18
2025-02-20,CXDO,6.7067,6.8676,TP,2.4,1740061920000000000,1.74006204e+18
2025-02-20,HAS,65.5555,66.992,TP,2.191,1740061920000000000,1.7400621e+18
2025-02-21,AAOI,30.3003,29.7003,SL,-1.98,1740148320000000000,1.74014838e+18
2025-02-21,INOD,63.9939,66.5848,TP,4.049,1740148320000000000,1.74014904e+18
2025-02-24,AAOI,28.6685,29.5775,TP,3.171,1740407520000000000,1.7404077e+18
2025-02-24,TEM,72.0287,69.4405,SL,-3.593,1740407520000000000,1.74040878e+18
2025-02-25,SOLV,82.8628,81.2352,SL,-1.964,1740493920000000000,1.74049392e+18
2025-02-25,AHCO,10.7097,10.1898,SL,-4.854,1740493920000000000,1.74049398e+18
